City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Lavrentiya,RU,65.5833,-171.0,38.62,82,100,9.66,overcast clouds
196,Saint-Francois,FR,46.4154,3.9054,39.67,100,0,0.0,clear sky
197,Kununurra,AU,-15.7667,128.7333,102.18,19,8,6.91,clear sky
198,Vardo,NO,70.3705,31.1107,46.38,93,100,14.97,overcast clouds
199,Havre,FR,49.5833,0.3333,51.57,82,0,4.61,clear sky
200,Vila Velha,BR,-20.3297,-40.2925,65.95,79,0,4.61,clear sky
201,Butaritari,KI,3.0707,172.7902,82.35,71,11,16.82,few clouds
202,Cidreira,BR,-30.1811,-50.2056,61.75,79,100,18.9,overcast clouds
203,Lyskovo,RU,56.0328,45.0422,64.9,84,98,15.9,light rain
204,Mollendo,PE,-17.0231,-72.0147,58.8,85,91,8.59,overcast clouds
205,Vestmannaeyjar,IS,63.4427,-20.2734,51.22,84,100,29.08,overcast clouds
206,Nanortalik,GL,60.1432,-45.2371,44.83,81,99,11.63,overcast clouds
207,Goderich,CA,43.7501,-81.7165,72.91,85,48,13.35,scattered clouds
208,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.41,58,10,1.97,clear sky
209,Saskylakh,RU,71.9167,114.0833,35.28,80,100,10.47,overcast clouds
210,Touros,BR,-5.1989,-35.4608,75.96,80,11,14.76,few clouds
211,Mana,GF,5.6592,-53.7767,78.17,86,98,8.66,overcast clouds
212,Soyo,AO,-6.1349,12.3689,73.27,90,95,7.54,overcast clouds
213,Raudeberg,NO,61.9875,5.1352,45.27,70,48,20.13,scattered clouds
214,Bom Jesus,BR,-9.0744,-44.3586,72.03,41,1,2.42,clear sky
215,Kahului,US,20.8947,-156.47,80.62,75,0,17.27,clear sky
216,Yulara,AU,-25.2406,130.9889,91.49,10,19,11.18,few clouds
217,Sumkino,RU,58.1108,68.3244,60.44,59,92,4.79,overcast clouds
218,Rabo De Peixe,PT,37.8,-25.5833,71.11,88,75,3.44,light intensity shower rain
219,Putina,PE,-15.4667,-69.4333,45.7,70,44,2.21,scattered clouds
220,Araouane,ML,18.9048,-3.5265,85.21,52,94,16.67,overcast clouds
221,Broome,US,42.2506,-75.833,69.35,85,100,4.61,overcast clouds
222,Dayong,CN,25.0209,118.2898,94.6,42,32,3.67,scattered clouds
223,Puerto Escondido,MX,15.85,-97.0667,77.83,89,97,6.87,overcast clouds
224,Skibbereen,IE,51.55,-9.2667,49.05,87,8,2.3,clear sky
225,Iqaluit,CA,63.7506,-68.5145,38.93,86,40,3.44,scattered clouds
226,Sabang,ID,5.8933,95.3214,82.45,74,91,19.66,overcast clouds
227,Bogandinskiy,RU,56.8937,65.8938,57.52,69,94,4.7,overcast clouds
228,Goure,NE,13.9835,10.2704,77.47,70,79,8.41,broken clouds
229,Tigre,AR,-34.426,-58.5796,64.27,91,75,4.63,broken clouds
230,Samagaltay,RU,50.6022,95.0047,55.2,38,1,8.01,clear sky
231,North Platte,US,41.1239,-100.7654,68.11,90,0,8.01,clear sky
232,Zlitan,LY,32.4674,14.5687,75.25,81,6,5.75,clear sky
233,Halifax,CA,44.6453,-63.5724,54.21,92,100,6.17,overcast clouds
234,Hirado,JP,33.3597,129.5531,72.39,85,100,27.83,light rain
235,Thai Nguyen,VN,21.5928,105.8442,91.18,56,40,2.91,scattered clouds
236,Lompoc,US,34.6391,-120.4579,66.34,77,100,10.36,light rain
237,Yining,CN,29.0361,114.5636,90.79,35,2,9.08,clear sky
238,Nizwa,OM,22.9333,57.5333,88.52,40,3,3.53,clear sky
239,Tokur,RU,53.1333,132.9,32.88,96,100,4.88,light snow
240,Torbay,CA,47.6666,-52.7314,50.58,80,0,16.11,clear sky
241,Samana,DO,19.2056,-69.3369,78.76,94,100,9.22,overcast clouds
242,Nome,US,64.5011,-165.4064,46.47,81,100,18.41,overcast clouds
243,Sambava,MG,-14.2667,50.1667,72.63,72,17,10.49,few clouds
244,Meadow Lake,US,34.8014,-106.5436,73.8,54,48,5.06,scattered clouds
245,Bonthe,SL,7.5264,-12.505,74.28,89,77,4.65,light rain
246,Puerto Madero,MX,14.7208,-92.4215,75.4,100,75,5.75,broken clouds
247,Bourg-Les-Valence,FR,44.956,4.9102,46.04,75,0,7.43,clear sky
248,Pisco,PE,-13.7,-76.2167,62.65,82,100,4.61,mist
249,Khatanga,RU,71.9667,102.5,35.53,50,40,13.51,scattered clouds
250,Porto Novo,BJ,6.4965,2.6036,74.26,94,100,9.35,moderate rain
251,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,85,0,5.99,clear sky
252,Ferkessedougou,CI,9.6,-5.2,70.34,96,100,5.84,light rain
253,Salamanca,ES,40.8333,-6.0,66.61,74,98,6.35,light rain
254,Kiruna,SE,67.8557,20.2251,40.12,81,100,8.05,overcast clouds
255,Luan,CH,46.3592,6.9759,40.86,88,78,2.55,broken clouds
256,Sechura,PE,-5.5569,-80.8222,64.08,88,4,9.46,clear sky
257,Honiara,SB,-9.4333,159.95,81.72,80,100,7.99,overcast clouds
258,Kurmanayevka,RU,52.5093,52.0675,71.29,43,34,15.32,scattered clouds
259,Kavieng,PG,-2.5744,150.7967,83.52,71,84,9.91,light rain
260,Sarai,RU,53.7458,41.0213,54.75,79,80,20.29,broken clouds
261,Aykhal,RU,66.0,111.5,32.41,98,100,5.68,light snow
262,Rudnogorsk,RU,57.2639,103.7519,54.39,54,94,6.02,overcast clouds
263,Almeria,ES,37.1667,-2.3333,68.77,82,56,6.96,broken clouds
264,Tautira,PF,-17.7333,-149.15,78.1,71,22,20.67,light rain
265,Batagay,RU,67.6333,134.6333,35.69,79,100,5.55,overcast clouds
266,Bima,ID,-8.4667,118.7167,94.5,42,14,5.68,few clouds
267,Berdigestyakh,RU,62.0989,126.6992,33.53,69,100,9.89,overcast clouds
268,Tucurui,BR,-3.7661,-49.6725,71.85,89,50,4.16,scattered clouds
269,Nevelsk,RU,46.6733,141.8633,60.42,81,100,9.06,overcast clouds
270,Hoopstad,ZA,-27.8327,25.9083,61.03,44,96,10.51,overcast clouds
271,Petropavlovka,RU,50.6114,105.3196,58.98,40,0,9.22,clear sky
272,Pekan,MY,3.4836,103.3996,90.84,48,99,2.1,overcast clouds
273,Limbang,MY,4.75,115.0,82.51,63,100,3.91,overcast clouds
274,Riyadh,SA,24.6877,46.7219,89.74,14,0,7.0,clear sky
275,Souillac,MU,-20.5167,57.5167,71.87,71,6,16.67,clear sky
276,Kamenka,RU,51.3223,42.7678,65.23,70,97,14.0,overcast clouds
277,Provideniya,RU,64.3833,-173.3,41.36,100,100,8.95,fog
278,Byron Bay,AU,-28.65,153.6167,81.72,48,2,10.94,clear sky
279,San Pedro,PH,14.35,121.0167,86.04,67,97,15.55,overcast clouds
280,Lethem,GY,3.3803,-59.7968,77.47,73,42,5.59,scattered clouds
