City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Buchanan,LR,2022-09-17 05:19:01,5.8808,-10.0467,75.63,89,100,8.37
145,Goure,NE,2022-09-17 05:19:12,13.9835,10.2704,76.01,72,100,10.89
146,Barrow,US,2022-09-17 05:19:13,71.2906,-156.7887,33.82,93,100,31.07
147,Bemidji,US,2022-09-17 05:19:13,47.4736,-94.8803,62.06,100,100,0.0
148,Caruray,PH,2022-09-17 05:19:13,10.3094,119.0128,85.6,66,100,11.07
149,Olafsvik,IS,2022-09-17 05:19:14,64.8945,-23.7142,48.2,81,100,4.38
150,Zhangye,CN,2022-09-17 05:19:14,38.9342,100.4517,76.93,28,0,3.8
151,Darnah,LY,2022-09-17 05:19:15,32.767,22.6367,72.73,63,0,2.01
152,Kirakira,SB,2022-09-17 05:19:15,-10.4544,161.9205,84.06,72,32,10.11
153,Khorramshahr,IR,2022-09-17 05:19:15,30.4397,48.1664,85.96,23,0,9.22
154,Iwanai,JP,2022-09-17 05:19:16,42.9744,140.5089,78.73,63,100,4.23
155,Margate,GB,2022-09-17 05:19:16,51.3813,1.3862,51.69,75,65,8.01
156,Pemangkat,ID,2022-09-17 05:19:17,1.1667,108.9667,83.84,74,81,7.07
157,Puerto El Triunfo,SV,2022-09-17 05:19:17,13.2833,-88.55,77.29,90,100,3.47
158,Rio Grande,BR,2022-09-17 05:18:18,-32.035,-52.0986,57.94,83,0,16.24
159,Hithadhoo,MV,2022-09-17 05:16:26,-0.6,73.0833,81.68,72,68,4.9
160,Qaanaaq,GL,2022-09-17 05:19:19,77.484,-69.3632,25.54,80,35,8.19
161,Tasiilaq,GL,2022-09-17 05:19:19,65.6145,-37.6368,39.36,97,100,11.12
162,Provideniya,RU,2022-09-17 05:19:20,64.3833,-173.3,44.2,95,100,34.72
163,Fort Nelson,CA,2022-09-17 05:15:01,58.8053,-122.7002,54.99,50,100,8.05
164,Severo-Kurilsk,RU,2022-09-17 05:19:20,50.6789,156.125,52.48,73,34,17.0
165,Marsa Matruh,EG,2022-09-17 05:19:21,31.3525,27.2453,72.34,64,0,3.96
166,Poum,NC,2022-09-17 05:19:21,-20.2333,164.0167,75.96,65,1,14.05
167,Sorong,ID,2022-09-17 05:19:22,-0.8833,131.25,82.54,75,100,6.71
168,Namibe,AO,2022-09-17 05:19:22,-15.1961,12.1522,64.98,90,64,3.29
169,Ponta Delgada,PT,2022-09-17 05:19:22,37.7333,-25.6667,69.49,94,20,3.44
170,Vestmannaeyjar,IS,2022-09-17 05:19:23,63.4427,-20.2734,48.94,82,99,7.81
171,Portland,US,2022-09-17 05:18:38,45.5234,-122.6762,64.45,76,75,5.75
172,Cidreira,BR,2022-09-17 05:16:22,-30.1811,-50.2056,59.88,82,0,13.47
173,Lewisporte,CA,2022-09-17 05:19:24,49.2499,-55.0482,52.56,91,71,9.78
174,Cockburn Town,TC,2022-09-17 05:19:24,21.4612,-71.1419,83.68,78,97,20.13
175,Bredasdorp,ZA,2022-09-17 05:15:03,-34.5322,20.0403,54.25,88,82,2.64
176,Katsuura,JP,2022-09-17 05:19:25,35.1333,140.3,82.18,69,100,10.71
177,Carnarvon,AU,2022-09-17 05:19:25,-24.8667,113.6333,73.78,45,1,12.86
178,Bereda,ES,2022-09-17 05:19:26,43.2686,-7.5406,57.42,93,94,5.06
179,Te Anau,NZ,2022-09-17 05:19:26,-45.4167,167.7167,51.62,60,100,3.31
180,Sapa,PH,2022-09-17 05:19:27,5.1544,120.3241,85.57,68,96,7.49
181,Lima,PE,2022-09-17 05:15:12,-12.0432,-77.0282,57.9,86,100,10.36
182,Norman Wells,CA,2022-09-17 05:20:27,65.282,-126.8329,48.24,87,75,5.75
183,Chisec,GT,2022-09-17 05:20:28,15.8167,-90.2833,71.96,99,100,1.72
184,Punta Alta,AR,2022-09-17 05:18:34,-38.8759,-62.0736,63.61,48,100,18.84
185,Lubango,AO,2022-09-17 05:20:29,-14.9172,13.4925,59.52,46,51,3.29
186,Nabire,ID,2022-09-17 05:20:29,-3.3667,135.4833,73.31,98,100,5.75
187,Faanui,PF,2022-09-17 05:20:30,-16.4833,-151.75,77.77,74,60,22.24
188,Nara,JP,2022-09-17 05:20:30,34.6851,135.8049,82.9,61,100,13.18
189,Pangnirtung,CA,2022-09-17 05:20:30,66.1451,-65.7125,40.3,73,100,5.3
190,Havre-Saint-Pierre,CA,2022-09-17 05:20:31,50.2334,-63.5986,48.2,63,100,17.0
191,Beni,CD,2022-09-17 05:20:31,0.5,29.4667,63.63,97,83,0.09
192,Chicomuselo,MX,2022-09-17 05:20:32,15.7667,-92.2667,69.71,98,100,0.76
193,Lasa,IT,2022-09-17 05:20:32,46.6166,10.7002,49.69,96,100,9.51
194,Moose Factory,CA,2022-09-17 05:20:33,51.2585,-80.6094,46.38,76,0,4.61
195,Hambantota,LK,2022-09-17 05:20:33,6.1241,81.1185,86.34,60,26,18.37
196,Kawalu,ID,2022-09-17 05:20:34,-7.3817,108.2082,81.79,69,84,6.04
197,San Quintin,MX,2022-09-17 05:20:34,30.4833,-115.95,67.6,82,2,10.02
198,Kodiak,US,2022-09-17 05:20:14,57.79,-152.4072,53.11,87,100,6.91
199,Uchiza,PE,2022-09-17 05:20:35,-8.4592,-76.4633,67.95,90,11,2.15
200,Guarapari,BR,2022-09-17 05:20:35,-20.6667,-40.4975,63.9,91,100,11.65
201,Asau,RO,2022-09-17 05:20:35,46.4333,26.4,60.28,90,59,2.13
202,Araci,BR,2022-09-17 05:20:36,-11.3333,-38.9667,64.89,96,3,3.62
203,Khandbari,NP,2022-09-17 05:20:36,27.3747,87.2039,75.07,87,91,1.23
204,Fortuna,US,2022-09-17 05:20:31,40.5982,-124.1573,54.66,88,35,2.68
205,Torbay,CA,2022-09-17 05:20:37,47.6666,-52.7314,56.39,89,75,16.11
206,Nicoya,CR,2022-09-17 05:20:37,10.1483,-85.452,73.47,98,100,2.19
207,Lebu,CL,2022-09-17 05:20:38,-37.6167,-73.65,44.67,93,100,16.04
208,Estelle,US,2022-09-17 05:20:38,29.8458,-90.1067,81.0,76,0,5.75
209,Opuwo,NA,2022-09-17 05:20:38,-18.0607,13.84,61.79,54,0,2.53
210,Sao Joao Da Barra,BR,2022-09-17 05:20:39,-21.6403,-41.0511,63.46,89,100,9.6
211,Erzin,TR,2022-09-17 05:20:39,36.9559,36.2,78.48,63,0,1.88
212,Ramhormoz,IR,2022-09-17 05:20:40,31.28,49.6035,90.23,14,0,1.07
213,Alice Springs,AU,2022-09-17 05:19:39,-23.7,133.8833,76.55,22,0,8.05
214,Leningradskiy,RU,2022-09-17 05:20:40,69.3833,178.4167,35.6,99,100,14.97
215,Narsaq,GL,2022-09-17 05:19:12,60.9167,-46.05,59.22,75,100,12.95
216,Kamaishi,JP,2022-09-17 05:20:41,39.2667,141.8833,76.86,79,100,13.24
217,Guerrero Negro,MX,2022-09-17 05:20:41,27.9769,-114.0611,69.17,80,0,15.35
218,Puri,IN,2022-09-17 05:20:42,19.8,85.85,91.92,63,94,7.27
219,Awbari,LY,2022-09-17 05:20:42,26.5921,12.7805,78.12,21,0,5.59
220,Sorland,NO,2022-09-17 05:20:27,67.667,12.6934,53.46,78,100,7.99
221,Boa Vista,BR,2022-09-17 05:20:43,2.8197,-60.6733,78.78,73,40,4.61
222,Foki,RU,2022-09-17 05:20:43,56.693,54.3499,54.36,82,52,8.3
223,Axim,GH,2022-09-17 05:20:44,4.8699,-2.2405,73.81,95,100,5.86
224,Bengkulu,ID,2022-09-17 05:20:44,-3.8004,102.2655,83.05,71,77,7.74
225,Zhigansk,RU,2022-09-17 05:20:45,66.7697,123.3711,39.13,66,62,16.24
226,Malanje,AO,2022-09-17 05:20:45,-9.5402,16.341,63.99,93,77,5.03
227,Dalbandin,PK,2022-09-17 05:20:45,28.8947,64.4101,94.73,8,0,11.9
228,Lavrentiya,RU,2022-09-17 05:21:46,65.5833,-171.0,43.79,94,100,31.05
229,Praia Da Vitoria,PT,2022-09-17 05:21:46,38.7333,-27.0667,71.85,83,20,9.26
230,Geraldton,AU,2022-09-17 05:19:19,-28.7667,114.6,70.21,52,0,8.05
231,Rocha,UY,2022-09-17 05:21:47,-34.4833,-54.3333,52.02,87,47,10.07
232,Mount Vernon,US,2022-09-17 05:21:47,40.9126,-73.8371,70.9,67,100,10.36
233,Bud,US,2022-09-17 05:21:48,39.447,-86.1758,67.68,90,32,5.3
234,Machiques,VE,2022-09-17 05:21:48,10.0644,-72.545,75.7,87,99,2.95
235,Bathsheba,BB,2022-09-17 05:21:48,13.2167,-59.5167,84.81,84,40,17.27
236,Dubbo,AU,2022-09-17 05:20:41,-32.25,148.6167,64.53,48,40,18.41
237,Vanimo,PG,2022-09-17 05:21:49,-2.6741,141.3028,85.24,67,51,7.72
238,Evansville,US,2022-09-17 05:18:46,37.9748,-87.5558,69.64,86,0,1.01
239,Isla Mujeres,MX,2022-09-17 05:21:50,21.2311,-86.731,75.25,83,100,9.24
240,San Patricio,US,2022-09-17 05:17:56,28.017,-97.5169,84.09,73,21,8.41
241,Tuatapere,NZ,2022-09-17 05:21:50,-46.1333,167.6833,52.52,61,100,5.68
242,Cabedelo,BR,2022-09-17 05:21:51,-6.9811,-34.8339,72.27,81,30,9.64
243,Caravelas,BR,2022-09-17 05:21:51,-17.7125,-39.2481,69.55,92,3,3.4
244,Asfi,MA,2022-09-17 05:21:51,32.2994,-9.2372,68.13,89,12,8.05
245,Naze,JP,2022-09-17 05:19:15,28.3667,129.4833,77.92,89,96,33.15
246,Hamilton,US,2022-09-17 05:21:46,39.1834,-84.5333,68.85,88,0,3.44
247,Rawlins,US,2022-09-17 05:21:52,41.7911,-107.2387,46.29,76,0,0.0
248,Markova,UA,2022-09-17 05:21:53,48.6758,24.4138,52.97,84,99,1.88
249,Ormara,PK,2022-09-17 05:21:53,25.2088,64.6357,81.0,76,99,7.9
250,Fairbanks,US,2022-09-17 05:21:16,64.8378,-147.7164,55.31,70,100,0.0
251,Shiyan,CN,2022-09-17 05:21:53,32.6475,110.7781,82.56,48,92,1.45
252,Fare,PF,2022-09-17 05:21:54,-16.7,-151.0167,77.83,72,54,21.94
253,Ucluelet,CA,2022-09-17 05:21:54,48.9329,-125.5528,54.09,87,100,4.03
254,Mlowo,TZ,2022-09-17 05:21:55,-9.0,32.9833,61.54,70,49,2.84
255,Zimnicea,RO,2022-09-17 05:21:55,43.6667,25.3667,70.09,70,8,3.04
256,Cabimas,VE,2022-09-17 05:21:56,10.3883,-71.4399,79.43,82,100,6.78
257,Phalaborwa,ZA,2022-09-17 05:21:56,-23.943,31.1411,69.08,32,0,3.85
258,Port Lincoln,AU,2022-09-17 05:21:57,-34.7333,135.8667,57.72,67,30,25.68
259,Nisia Floresta,BR,2022-09-17 05:21:57,-6.0911,-35.2086,73.78,88,5,7.09
260,Zeerust,ZA,2022-09-17 05:21:57,-25.5369,26.0751,61.48,33,0,2.53
261,Camacha,PT,2022-09-17 05:21:58,33.0833,-16.3333,71.02,88,75,14.97
262,Oranjemund,NA,2022-09-17 05:21:59,-28.55,16.4333,53.96,96,40,9.51
263,Gorin,RU,2022-09-17 05:21:59,51.1983,136.6669,54.27,76,100,5.93
264,Jucas,BR,2022-09-17 05:21:59,-6.5253,-39.5275,71.46,69,6,2.75
265,Dwarka,IN,2022-09-17 05:22:00,22.2394,68.9678,81.7,72,100,15.39
266,Santa Elena,EC,2022-09-17 05:22:00,-2.2333,-80.85,67.53,85,97,7.65
267,Asuncion Nochixtlan,MX,2022-09-17 05:22:01,17.4667,-97.2333,57.45,95,98,4.47
268,Verkhnetulomskiy,RU,2022-09-17 05:22:01,68.6073,31.7962,48.33,98,99,4.97
269,Mizan Teferi,ET,2022-09-17 05:22:02,6.9833,35.5833,65.59,74,44,2.04
270,Bambous Virieux,MU,2022-09-17 05:22:02,-20.3428,57.7575,75.45,69,75,14.97
271,Siderno,IT,2022-09-17 05:21:51,38.2779,16.302,82.33,76,65,9.75
272,Klaksvik,FO,2022-09-17 05:22:03,62.2266,-6.589,49.12,76,100,9.04
273,Nyurba,RU,2022-09-17 05:22:03,63.2842,118.3319,45.18,49,26,10.83
274,Saskylakh,RU,2022-09-17 05:23:04,71.9167,114.0833,34.07,98,100,21.92
275,Sola,VU,2022-09-17 05:23:04,-13.8833,167.55,81.12,73,20,20.04
276,Ngaoundere,CM,2022-09-17 05:20:35,7.3167,13.5833,63.99,98,100,2.19
277,Worthington,US,2022-09-17 05:23:05,40.0931,-83.018,64.98,93,0,0.0
278,Grenville,GD,2022-09-17 05:23:05,12.1167,-61.6167,83.44,79,100,13.58
279,Maamba,ZM,2022-09-17 05:23:06,-17.3667,27.15,67.41,42,0,2.28
280,Abu Dhabi,AE,2022-09-17 05:23:06,24.4667,54.3667,96.82,43,2,5.75
281,Lask,PL,2022-09-17 05:23:07,51.5906,19.1328,48.81,93,8,1.01
282,Komsomolskiy,UZ,2022-09-17 05:23:07,40.4272,71.7189,77.72,25,37,4.61
283,Clyde River,CA,2022-09-17 05:23:08,70.4692,-68.5914,35.83,100,100,14.97
